material_id,energy,energy_per_atom,band_gap,total_magnetization,0,1,2,3,4,5,6,7,8,9,10,11,12,13
mp-571607,-68.7135985,-1.9087110694444445,2.3709,3e-07,19.5,2.5,-9.5,-2.5,18.0,6.0,9.0,3.0,4.5,-1.5,4.22178253333247,-0.018217466667531212,2.985278928125615,7.850890962313173e-05
mp-1186864,-5.24749071,-1.3118726775,0.0,0.743202,7.5,1.5,3.5,-0.5,2.0,-1.0,6.0,-2.0,8.0,4.0,5.014718081821153,0.8197379181788476,4.1949869735460545,-0.06940357141151576
mp-559871,-141.39883147,-5.891617977916667,7.5154000000000005,0.0,17.5,1.5,-12.5,-2.5,12.0,6.0,7.0,1.0,4.0,-2.0,3.0020396287112234,-0.4628444174536328,1.7984543535696607,0.0011934123180844525
mp-1100450,-84.76807007,-3.532002919583333,0.0,0.000265725,11.0,6.0,-5.0,-6.0,12.0,-0.0,4.0,-2.0,6.0,-0.0,2.7678533815941533,-0.4466186083538235,2.6919390795246185,0.011332764921927474
mp-1077018,-32.12963204,-5.354938673333333,0.0,0.0208848,14.5,5.5,-3.5,-6.5,3.0,-1.0,5.5,-0.5,6.75,2.25,4.475130979694148,0.538867020305851,3.6515908899218403,-0.011905888201865888
mp-1079910,-67.32150698,-8.4151883725,0.0,1.6675e-05,14.5,2.5,-6.5,-4.5,4.0,0.0,6.0,0.0,7.0,0.0,2.9538374409620607,0.010507855095024166,2.525779179108353,0.0
mp-1094302,-12.19211849,-1.52401481125,0.0,9.1e-06,6.0,1.0,2.0,1.0,4.0,-2.0,5.333333333333333,-3.333333333333333,6.666666666666667,3.333333333333333,3.7637893520424583,6.479575416218353e-07,3.763789559180405,-8.550954881947348e-07
mp-1225895,-1.79502286,-0.89751143,0.0,1.44e-05,6.5,0.5,4.5,0.5,1.0,0.0,4.0,0.0,4.0,0.0,4.230866651242036,0.0,4.230866651242036,0.0
mp-1245286,-547.39742303,-5.4739742303000005,0.0,0.000221464,17.0,0.0,-11.0,0.0,50.0,0.0,2.51,0.0,3.38,-0.0,2.3576193861972756,0.0,2.330377885070046,-0.0
mp-6996,-47.97764056,-6.8539486514285715,0.0,1e-07,12.0,3.0,-4.0,-7.0,3.5,2.5,5.5,-0.5,14.0,-10.0,2.91049166989404,-1.21750833010596,3.0449421890078634,-2.220446049250313e-16
mp-1187946,-9.84230458,-2.460576145,0.0,6.4e-06,16.0,0.0,-7.0,-0.0,2.0,-0.0,6.0,-0.0,8.0,0.0,3.3827803009970525,0.0,2.818005854665068,-0.0
mp-7497,-20.13240931,-6.710803103333333,0.0,5.1e-06,13.5,3.5,-3.5,-7.5,1.5,0.5,5.5,-2.5,9.0,-3.0,3.1428703967291765,-0.8421295997365843,3.121779656595802,0.0
mp-1094593,-20.90933672,-1.7424447266666665,0.0,3.1225e-05,4.0,1.0,1.0,-0.0,6.0,2.0,4.5,2.5,7.5,-2.5,2.9891825566569006,-2.9070166587263913e-06,2.9891827387824605,1.3946334602721322e-06
mp-1075011,-51.2916337,-3.6636881214285713,0.0,2.44e-05,11.0,6.0,-5.0,-6.0,7.0,1.0,2.020833333333333,-0.14583333333333326,4.166666666666666,-0.16666666666666652,2.7216045896252625,-0.3510169441079709,2.910023509258825,0.0544102108271749
mvc-11423,-105.9138846,-8.82615705,2.6333,2.5e-08,13.0,5.0,-7.0,-7.0,6.0,2.0,5.25,0.25,2.75,-0.25,2.7962295344525794,-0.1520434655474201,1.9108718155436772,0.021958992228814367
mp-1192487,-62.17819434,-2.1440756668965517,0.0,0.0338555,7.0,2.0,2.0,1.0,14.5,-9.5,4.55,-2.95,6.3,3.3,3.479310999011969,0.3206350806519038,3.6153721447559155,-0.19367703649941137
mp-505319,-99.69026595,-3.5603666410714285,0.0,2.016377725,17.5,1.5,-9.5,-5.5,14.0,10.0,5.166666666666666,-0.8333333333333335,4.25,-1.75,3.7494175177128763,-1.138119570962725,2.7205977646479838,0.8721427175962357
